"Notes"	"County"	"County Code"	"Daily Max Heat Index (C)"	"Daily Max Heat Index (C) Code"	Avg Daily Max Heat Index (C)
	"Barbour County, AL"	"01005"	"42"	"42"	42.03
	"Barbour County, AL"	"01005"	"43"	"43"	42.84
	"Barbour County, AL"	"01005"	"44"	"44"	43.81
	"Barbour County, AL"	"01005"	"45"	"45"	44.96
	"Barbour County, AL"	"01005"	"46"	"46"	45.84
	"Barbour County, AL"	"01005"	"49"	"49"	49.03
	"Barbour County, AL"	"01005"	"N/A"	"N/A"	Missing
"Total"	"Barbour County, AL"	"01005"			33.35
	"Bibb County, AL"	"01007"	"26"	"26"	26.31
	"Bibb County, AL"	"01007"	"27"	"27"	27.17
	"Bibb County, AL"	"01007"	"28"	"28"	28.06
	"Bibb County, AL"	"01007"	"29"	"29"	29.01
	"Bibb County, AL"	"01007"	"30"	"30"	30.00
	"Bibb County, AL"	"01007"	"31"	"31"	31.02
	"Bibb County, AL"	"01007"	"32"	"32"	31.99
	"Bibb County, AL"	"01007"	"33"	"33"	33.01
	"Bibb County, AL"	"01007"	"34"	"34"	33.98
	"Bibb County, AL"	"01007"	"35"	"35"	34.98
	"Bibb County, AL"	"01007"	"36"	"36"	35.98
	"Bibb County, AL"	"01007"	"37"	"37"	37.00
	"Bibb County, AL"	"01007"	"38"	"38"	37.99
	"Bibb County, AL"	"01007"	"39"	"39"	38.95
	"Bibb County, AL"	"01007"	"40"	"40"	39.94
	"Bibb County, AL"	"01007"	"41"	"41"	40.96
	"Bibb County, AL"	"01007"	"42"	"42"	42.00
	"Bibb County, AL"	"01007"	"43"	"43"	42.90
	"Bibb County, AL"	"01007"	"44"	"44"	43.87
	"Bibb County, AL"	"01007"	"45"	"45"	45.04
	"Bibb County, AL"	"01007"	"46"	"46"	45.92
	"Bibb County, AL"	"01007"	"47"	"47"	46.90
	"Bibb County, AL"	"01007"	"49"	"49"	49.07
	"Bibb County, AL"	"01007"	"N/A"	"N/A"	Missing
"Total"	"Bibb County, AL"	"01007"			33.55
	"Blount County, AL"	"01009"	"26"	"26"	26.27
	"Blount County, AL"	"01009"	"27"	"27"	27.19
	"Blount County, AL"	"01009"	"28"	"28"	28.06
	"Blount County, AL"	"01009"	"29"	"29"	29.01
	"Blount County, AL"	"01009"	"30"	"30"	30.00
	"Blount County, AL"	"01009"	"31"	"31"	31.01
	"Blount County, AL"	"01009"	"32"	"32"	32.00
	"Blount County, AL"	"01009"	"33"	"33"	32.99
	"Blount County, AL"	"01009"	"34"	"34"	34.00
	"Blount County, AL"	"01009"	"35"	"35"	34.99
	"Blount County, AL"	"01009"	"36"	"36"	35.99
	"Blount County, AL"	"01009"	"37"	"37"	36.96
	"Blount County, AL"	"01009"	"38"	"38"	37.98
	"Blount County, AL"	"01009"	"39"	"39"	39.01
	"Blount County, AL"	"01009"	"40"	"40"	39.97
	"Blount County, AL"	"01009"	"41"	"41"	40.99
	"Blount County, AL"	"01009"	"42"	"42"	41.92
	"Blount County, AL"	"01009"	"43"	"43"	42.94
	"Blount County, AL"	"01009"	"44"	"44"	44.04
	"Blount County, AL"	"01009"	"45"	"45"	44.78
	"Blount County, AL"	"01009"	"N/A"	"N/A"	Missing
"Total"	"Blount County, AL"	"01009"			32.83
	"Bullock County, AL"	"01011"	"26"	"26"	26.36
	"Bullock County, AL"	"01011"	"27"	"27"	27.15
	"Bullock County, AL"	"01011"	"28"	"28"	28.05
	"Bullock County, AL"	"01011"	"29"	"29"	29.01
	"Bullock County, AL"	"01011"	"30"	"30"	30.00
	"Bullock County, AL"	"01011"	"31"	"31"	30.97
	"Bullock County, AL"	"01011"	"32"	"32"	32.02
	"Bullock County, AL"	"01011"	"33"	"33"	32.99
	"Bullock County, AL"	"01011"	"34"	"34"	34.01
	"Bullock County, AL"	"01011"	"35"	"35"	34.99
	"Bullock County, AL"	"01011"	"36"	"36"	35.99
	"Bullock County, AL"	"01011"	"37"	"37"	36.97
	"Bullock County, AL"	"01011"	"38"	"38"	37.98
	"Bullock County, AL"	"01011"	"39"	"39"	38.96
	"Bullock County, AL"	"01011"	"40"	"40"	39.95
	"Bullock County, AL"	"01011"	"41"	"41"	40.93
	"Bullock County, AL"	"01011"	"42"	"42"	41.93
	"Bullock County, AL"	"01011"	"43"	"43"	42.95
	"Bullock County, AL"	"01011"	"44"	"44"	44.00
	"Bullock County, AL"	"01011"	"45"	"45"	44.96
	"Bullock County, AL"	"01011"	"46"	"46"	45.81
	"Bullock County, AL"	"01011"	"49"	"49"	48.88
	"Bullock County, AL"	"01011"	"N/A"	"N/A"	Missing
"Total"	"Bullock County, AL"	"01011"			33.36
	"Butler County, AL"	"01013"	"26"	"26"	26.33
	"Butler County, AL"	"01013"	"27"	"27"	27.17
	"Butler County, AL"	"01013"	"28"	"28"	28.05
	"Butler County, AL"	"01013"	"29"	"29"	29.00
	"Butler County, AL"	"01013"	"30"	"30"	29.98
	"Butler County, AL"	"01013"	"31"	"31"	31.00
	"Butler County, AL"	"01013"	"32"	"32"	32.03
	"Butler County, AL"	"01013"	"33"	"33"	33.02
	"Butler County, AL"	"01013"	"34"	"34"	34.01
	"Butler County, AL"	"01013"	"35"	"35"	34.97
	"Butler County, AL"	"01013"	"36"	"36"	35.99
	"Butler County, AL"	"01013"	"37"	"37"	37.00
	"Butler County, AL"	"01013"	"38"	"38"	38.00
	"Butler County, AL"	"01013"	"39"	"39"	38.94
	"Butler County, AL"	"01013"	"40"	"40"	40.00
	"Butler County, AL"	"01013"	"41"	"41"	40.97
	"Butler County, AL"	"01013"	"42"	"42"	41.93
	"Butler County, AL"	"01013"	"43"	"43"	42.96
	"Butler County, AL"	"01013"	"44"	"44"	43.94
	"Butler County, AL"	"01013"	"45"	"45"	44.61
	"Butler County, AL"	"01013"	"46"	"46"	46.02
	"Butler County, AL"	"01013"	"47"	"47"	46.62
	"Butler County, AL"	"01013"	"50"	"50"	49.51
	"Butler County, AL"	"01013"	"N/A"	"N/A"	Missing
"Total"	"Butler County, AL"	"01013"			33.43
	"Calhoun County, AL"	"01015"	"26"	"26"	26.31
	"Calhoun County, AL"	"01015"	"27"	"27"	27.16
	"Calhoun County, AL"	"01015"	"28"	"28"	28.05
	"Calhoun County, AL"	"01015"	"29"	"29"	28.99
	"Calhoun County, AL"	"01015"	"30"	"30"	29.99
	"Calhoun County, AL"	"01015"	"31"	"31"	30.99
	"Calhoun County, AL"	"01015"	"32"	"32"	32.01
	"Calhoun County, AL"	"01015"	"33"	"33"	32.99
	"Calhoun County, AL"	"01015"	"34"	"34"	34.00
	"Calhoun County, AL"	"01015"	"35"	"35"	34.98
	"Calhoun County, AL"	"01015"	"36"	"36"	36.00
	"Calhoun County, AL"	"01015"	"37"	"37"	36.98
	"Calhoun County, AL"	"01015"	"38"	"38"	38.00
	"Calhoun County, AL"	"01015"	"39"	"39"	38.94
	"Calhoun County, AL"	"01015"	"40"	"40"	39.98
	"Calhoun County, AL"	"01015"	"41"	"41"	40.97
	"Calhoun County, AL"	"01015"	"42"	"42"	41.96
	"Calhoun County, AL"	"01015"	"43"	"43"	42.96
	"Calhoun County, AL"	"01015"	"44"	"44"	44.01
	"Calhoun County, AL"	"01015"	"45"	"45"	45.03
	"Calhoun County, AL"	"01015"	"N/A"	"N/A"	Missing
"Total"	"Calhoun County, AL"	"01015"			32.74
	"Chambers County, AL"	"01017"	"26"	"26"	26.35
	"Chambers County, AL"	"01017"	"27"	"27"	27.15
	"Chambers County, AL"	"01017"	"28"	"28"	28.03
	"Chambers County, AL"	"01017"	"29"	"29"	29.02
	"Chambers County, AL"	"01017"	"30"	"30"	30.02
	"Chambers County, AL"	"01017"	"31"	"31"	31.00
	"Chambers County, AL"	"01017"	"32"	"32"	32.03
	"Chambers County, AL"	"01017"	"33"	"33"	32.99
	"Chambers County, AL"	"01017"	"34"	"34"	34.00
	"Chambers County, AL"	"01017"	"35"	"35"	34.99
	"Chambers County, AL"	"01017"	"36"	"36"	35.96
	"Chambers County, AL"	"01017"	"37"	"37"	36.97
	"Chambers County, AL"	"01017"	"38"	"38"	37.97
	"Chambers County, AL"	"01017"	"39"	"39"	38.95
	"Chambers County, AL"	"01017"	"40"	"40"	39.94
	"Chambers County, AL"	"01017"	"41"	"41"	40.95
	"Chambers County, AL"	"01017"	"42"	"42"	41.92
	"Chambers County, AL"	"01017"	"43"	"43"	42.86
	"Chambers County, AL"	"01017"	"44"	"44"	44.12
	"Chambers County, AL"	"01017"	"47"	"47"	46.68
	"Chambers County, AL"	"01017"	"N/A"	"N/A"	Missing
"Total"	"Chambers County, AL"	"01017"			32.70
	"Cherokee County, AL"	"01019"	"26"	"26"	26.33
	"Cherokee County, AL"	"01019"	"27"	"27"	27.18
	"Cherokee County, AL"	"01019"	"28"	"28"	28.07
	"Cherokee County, AL"	"01019"	"29"	"29"	29.01
	"Cherokee County, AL"	"01019"	"30"	"30"	30.01
	"Cherokee County, AL"	"01019"	"31"	"31"	30.99
	"Cherokee County, AL"	"01019"	"32"	"32"	32.00
	"Cherokee County, AL"	"01019"	"33"	"33"	32.98
	"Cherokee County, AL"	"01019"	"34"	"34"	33.97
	"Cherokee County, AL"	"01019"	"35"	"35"	34.99
	"Cherokee County, AL"	"01019"	"36"	"36"	35.98
	"Cherokee County, AL"	"01019"	"37"	"37"	36.98
	"Cherokee County, AL"	"01019"	"38"	"38"	37.99
	"Cherokee County, AL"	"01019"	"39"	"39"	39.01
	"Cherokee County, AL"	"01019"	"40"	"40"	39.94
	"Cherokee County, AL"	"01019"	"41"	"41"	40.92
	"Cherokee County, AL"	"01019"	"42"	"42"	41.96
	"Cherokee County, AL"	"01019"	"43"	"43"	42.99
	"Cherokee County, AL"	"01019"	"44"	"44"	44.20
	"Cherokee County, AL"	"01019"	"45"	"45"	44.83
	"Cherokee County, AL"	"01019"	"N/A"	"N/A"	Missing
"Total"	"Cherokee County, AL"	"01019"			32.71
	"Chilton County, AL"	"01021"	"26"	"26"	26.34
	"Chilton County, AL"	"01021"	"27"	"27"	27.16
	"Chilton County, AL"	"01021"	"28"	"28"	28.06
	"Chilton County, AL"	"01021"	"29"	"29"	29.01
	"Chilton County, AL"	"01021"	"30"	"30"	29.98
	"Chilton County, AL"	"01021"	"31"	"31"	31.01
	"Chilton County, AL"	"01021"	"32"	"32"	32.00
	"Chilton County, AL"	"01021"	"33"	"33"	32.99
	"Chilton County, AL"	"01021"	"34"	"34"	33.98
	"Chilton County, AL"	"01021"	"35"	"35"	34.99
	"Chilton County, AL"	"01021"	"36"	"36"	35.98
	"Chilton County, AL"	"01021"	"37"	"37"	36.95
	"Chilton County, AL"	"01021"	"38"	"38"	37.97
	"Chilton County, AL"	"01021"	"39"	"39"	38.98
	"Chilton County, AL"	"01021"	"40"	"40"	39.92
	"Chilton County, AL"	"01021"	"41"	"41"	40.92
	"Chilton County, AL"	"01021"	"42"	"42"	41.95
	"Chilton County, AL"	"01021"	"43"	"43"	42.97
	"Chilton County, AL"	"01021"	"44"	"44"	44.04
	"Chilton County, AL"	"01021"	"45"	"45"	44.90
	"Chilton County, AL"	"01021"	"46"	"46"	45.80
	"Chilton County, AL"	"01021"	"48"	"48"	48.36
	"Chilton County, AL"	"01021"	"N/A"	"N/A"	Missing
"Total"	"Chilton County, AL"	"01021"			33.22
	"Choctaw County, AL"	"01023"	"26"	"26"	26.35
	"Choctaw County, AL"	"01023"	"27"	"27"	27.18
	"Choctaw County, AL"	"01023"	"28"	"28"	28.04
	"Choctaw County, AL"	"01023"	"29"	"29"	28.99
	"Choctaw County, AL"	"01023"	"30"	"30"	30.00
	"Choctaw County, AL"	"01023"	"31"	"31"	31.00
	"Choctaw County, AL"	"01023"	"32"	"32"	32.00
	"Choctaw County, AL"	"01023"	"33"	"33"	33.01
	"Choctaw County, AL"	"01023"	"34"	"34"	34.02
	"Choctaw County, AL"	"01023"	"35"	"35"	34.99
	"Choctaw County, AL"	"01023"	"36"	"36"	35.99
	"Choctaw County, AL"	"01023"	"37"	"37"	36.98
	"Choctaw County, AL"	"01023"	"38"	"38"	37.99
	"Choctaw County, AL"	"01023"	"39"	"39"	38.99
	"Choctaw County, AL"	"01023"	"40"	"40"	39.98
	"Choctaw County, AL"	"01023"	"41"	"41"	41.00
	"Choctaw County, AL"	"01023"	"42"	"42"	41.91
	"Choctaw County, AL"	"01023"	"43"	"43"	42.97
	"Choctaw County, AL"	"01023"	"44"	"44"	43.94
	"Choctaw County, AL"	"01023"	"45"	"45"	45.04
	"Choctaw County, AL"	"01023"	"46"	"46"	46.03
	"Choctaw County, AL"	"01023"	"47"	"47"	46.86
	"Choctaw County, AL"	"01023"	"50"	"50"	50.43
	"Choctaw County, AL"	"01023"	"N/A"	"N/A"	Missing
"Total"	"Choctaw County, AL"	"01023"			34.12
	"Clarke County, AL"	"01025"	"26"	"26"	26.32
	"Clarke County, AL"	"01025"	"27"	"27"	27.15
	"Clarke County, AL"	"01025"	"28"	"28"	28.04
	"Clarke County, AL"	"01025"	"29"	"29"	29.02
	"Clarke County, AL"	"01025"	"30"	"30"	30.00
	"Clarke County, AL"	"01025"	"31"	"31"	31.00
	"Clarke County, AL"	"01025"	"32"	"32"	32.01
	"Clarke County, AL"	"01025"	"33"	"33"	33.03
	"Clarke County, AL"	"01025"	"34"	"34"	34.00
	"Clarke County, AL"	"01025"	"35"	"35"	35.00
	"Clarke County, AL"	"01025"	"36"	"36"	36.00
	"Clarke County, AL"	"01025"	"37"	"37"	36.97
	"Clarke County, AL"	"01025"	"38"	"38"	37.97
	"Clarke County, AL"	"01025"	"39"	"39"	39.00
	"Clarke County, AL"	"01025"	"40"	"40"	39.97
	"Clarke County, AL"	"01025"	"41"	"41"	40.96
	"Clarke County, AL"	"01025"	"42"	"42"	41.95
	"Clarke County, AL"	"01025"	"43"	"43"	43.02
	"Clarke County, AL"	"01025"	"44"	"44"	43.90
	"Clarke County, AL"	"01025"	"45"	"45"	44.99
	"Clarke County, AL"	"01025"	"46"	"46"	45.74
	"Clarke County, AL"	"01025"	"48"	"48"	47.66
	"Clarke County, AL"	"01025"	"50"	"50"	49.58
	"Clarke County, AL"	"01025"	"N/A"	"N/A"	Missing
"Total"	"Clarke County, AL"	"01025"			33.91
	"Clay County, AL"	"01027"	"26"	"26"	26.37
	"Clay County, AL"	"01027"	"27"	"27"	27.16
	"Clay County, AL"	"01027"	"28"	"28"	28.07
	"Clay County, AL"	"01027"	"29"	"29"	29.02
	"Clay County, AL"	"01027"	"30"	"30"	30.03
	"Clay County, AL"	"01027"	"31"	"31"	31.01
	"Clay County, AL"	"01027"	"32"	"32"	32.01
	"Clay County, AL"	"01027"	"33"	"33"	33.02
	"Clay County, AL"	"01027"	"34"	"34"	34.00
	"Clay County, AL"	"01027"	"35"	"35"	34.98
	"Clay County, AL"	"01027"	"36"	"36"	36.01
	"Clay County, AL"	"01027"	"37"	"37"	36.98
	"Clay County, AL"	"01027"	"38"	"38"	37.92
	"Clay County, AL"	"01027"	"39"	"39"	38.94
	"Clay County, AL"	"01027"	"40"	"40"	39.97
	"Clay County, AL"	"01027"	"41"	"41"	40.95
	"Clay County, AL"	"01027"	"42"	"42"	42.01
	"Clay County, AL"	"01027"	"45"	"45"	44.64
	"Clay County, AL"	"01027"	"N/A"	"N/A"	Missing
"Total"	"Clay County, AL"	"01027"			32.13
	"Cleburne County, AL"	"01029"	"26"	"26"	26.35
	"Cleburne County, AL"	"01029"	"27"	"27"	27.16
	"Cleburne County, AL"	"01029"	"28"	"28"	28.09
	"Cleburne County, AL"	"01029"	"29"	"29"	29.00
	"Cleburne County, AL"	"01029"	"30"	"30"	30.01
	"Cleburne County, AL"	"01029"	"31"	"31"	31.01
	"Cleburne County, AL"	"01029"	"32"	"32"	32.00
	"Cleburne County, AL"	"01029"	"33"	"33"	33.02
	"Cleburne County, AL"	"01029"	"34"	"34"	33.98
	"Cleburne County, AL"	"01029"	"35"	"35"	34.97
	"Cleburne County, AL"	"01029"	"36"	"36"	35.95
	"Cleburne County, AL"	"01029"	"37"	"37"	37.00
	"Cleburne County, AL"	"01029"	"38"	"38"	37.94
	"Cleburne County, AL"	"01029"	"39"	"39"	38.96
	"Cleburne County, AL"	"01029"	"40"	"40"	40.04
	"Cleburne County, AL"	"01029"	"41"	"41"	41.00
	"Cleburne County, AL"	"01029"	"42"	"42"	42.00
	"Cleburne County, AL"	"01029"	"43"	"43"	42.83
	"Cleburne County, AL"	"01029"	"N/A"	"N/A"	Missing
"Total"	"Cleburne County, AL"	"01029"			32.14
	"Coffee County, AL"	"01031"	"26"	"26"	26.27
	"Coffee County, AL"	"01031"	"27"	"27"	27.15
	"Coffee County, AL"	"01031"	"28"	"28"	28.02
	"Coffee County, AL"	"01031"	"29"	"29"	29.01
	"Coffee County, AL"	"01031"	"30"	"30"	30.00
	"Coffee County, AL"	"01031"	"31"	"31"	30.99
	"Coffee County, AL"	"01031"	"32"	"32"	32.03
	"Coffee County, AL"	"01031"	"33"	"33"	33.04
	"Coffee County, AL"	"01031"	"34"	"34"	34.00
	"Coffee County, AL"	"01031"	"35"	"35"	35.00
	"Coffee County, AL"	"01031"	"36"	"36"	35.99
	"Coffee County, AL"	"01031"	"37"	"37"	36.98
	"Coffee County, AL"	"01031"	"38"	"38"	37.95
	"Coffee County, AL"	"01031"	"39"	"39"	38.99
	"Coffee County, AL"	"01031"	"40"	"40"	39.94
	"Coffee County, AL"	"01031"	"41"	"41"	40.99
	"Coffee County, AL"	"01031"	"42"	"42"	42.02
	"Coffee County, AL"	"01031"	"43"	"43"	42.91
	"Coffee County, AL"	"01031"	"44"	"44"	43.87
	"Coffee County, AL"	"01031"	"45"	"45"	44.94
	"Coffee County, AL"	"01031"	"46"	"46"	45.66
	"Coffee County, AL"	"01031"	"47"	"47"	46.77
	"Coffee County, AL"	"01031"	"49"	"49"	49.34
	"Coffee County, AL"	"01031"	"N/A"	"N/A"	Missing
"Total"	"Coffee County, AL"	"01031"			33.42
	"Colbert County, AL"	"01033"	"26"	"26"	26.26
	"Colbert County, AL"	"01033"	"27"	"27"	27.13
	"Colbert County, AL"	"01033"	"28"	"28"	28.05
	"Colbert County, AL"	"01033"	"29"	"29"	29.03
	"Colbert County, AL"	"01033"	"30"	"30"	29.99
	"Colbert County, AL"	"01033"	"31"	"31"	30.99
	"Colbert County, AL"	"01033"	"32"	"32"	32.02
	"Colbert County, AL"	"01033"	"33"	"33"	32.99
	"Colbert County, AL"	"01033"	"34"	"34"	34.01
	"Colbert County, AL"	"01033"	"35"	"35"	35.00
	"Colbert County, AL"	"01033"	"36"	"36"	35.96
	"Colbert County, AL"	"01033"	"37"	"37"	37.01
	"Colbert County, AL"	"01033"	"38"	"38"	37.99
	"Colbert County, AL"	"01033"	"39"	"39"	38.98
	"Colbert County, AL"	"01033"	"40"	"40"	39.95
	"Colbert County, AL"	"01033"	"41"	"41"	40.96
	"Colbert County, AL"	"01033"	"42"	"42"	41.97
	"Colbert County, AL"	"01033"	"43"	"43"	43.02
	"Colbert County, AL"	"01033"	"44"	"44"	43.98
	"Colbert County, AL"	"01033"	"45"	"45"	44.94
	"Colbert County, AL"	"01033"	"46"	"46"	45.83
	"Colbert County, AL"	"01033"	"47"	"47"	46.88
	"Colbert County, AL"	"01033"	"48"	"48"	48.05
	"Colbert County, AL"	"01033"	"N/A"	"N/A"	Missing
"Total"	"Colbert County, AL"	"01033"			33.36
	"Conecuh County, AL"	"01035"	"26"	"26"	26.35
	"Conecuh County, AL"	"01035"	"27"	"27"	27.13
	"Conecuh County, AL"	"01035"	"28"	"28"	28.04
	"Conecuh County, AL"	"01035"	"29"	"29"	29.00
	"Conecuh County, AL"	"01035"	"30"	"30"	30.02
	"Conecuh County, AL"	"01035"	"31"	"31"	31.00
	"Conecuh County, AL"	"01035"	"32"	"32"	32.02
	"Conecuh County, AL"	"01035"	"33"	"33"	33.01
	"Conecuh County, AL"	"01035"	"34"	"34"	34.00
	"Conecuh County, AL"	"01035"	"35"	"35"	35.03
	"Conecuh County, AL"	"01035"	"36"	"36"	36.00
	"Conecuh County, AL"	"01035"	"37"	"37"	36.95
	"Conecuh County, AL"	"01035"	"38"	"38"	37.97
	"Conecuh County, AL"	"01035"	"39"	"39"	38.97
	"Conecuh County, AL"	"01035"	"40"	"40"	39.91
	"Conecuh County, AL"	"01035"	"41"	"41"	40.97
	"Conecuh County, AL"	"01035"	"42"	"42"	41.87
	"Conecuh County, AL"	"01035"	"43"	"43"	42.89
	"Conecuh County, AL"	"01035"	"44"	"44"	43.91
	"Conecuh County, AL"	"01035"	"45"	"45"	44.92
	"Conecuh County, AL"	"01035"	"46"	"46"	45.97
	"Conecuh County, AL"	"01035"	"48"	"48"	47.60
	"Conecuh County, AL"	"01035"	"49"	"49"	49.31
	"Conecuh County, AL"	"01035"	"N/A"	"N/A"	Missing
"Total"	"Conecuh County, AL"	"01035"			33.55
	"Coosa County, AL"	"01037"	"26"	"26"	26.26
	"Coosa County, AL"	"01037"	"27"	"27"	27.16
	"Coosa County, AL"	"01037"	"28"	"28"	28.04
	"Coosa County, AL"	"01037"	"29"	"29"	29.03
	"Coosa County, AL"	"01037"	"30"	"30"	30.01
	"Coosa County, AL"	"01037"	"31"	"31"	31.00
	"Coosa County, AL"	"01037"	"32"	"32"	32.01
	"Coosa County, AL"	"01037"	"33"	"33"	33.00
	"Coosa County, AL"	"01037"	"34"	"34"	34.00
	"Coosa County, AL"	"01037"	"35"	"35"	35.01
	"Coosa County, AL"	"01037"	"36"	"36"	35.99
	"Coosa County, AL"	"01037"	"37"	"37"	37.00
	"Coosa County, AL"	"01037"	"38"	"38"	37.96
	"Coosa County, AL"	"01037"	"39"	"39"	38.96
	"Coosa County, AL"	"01037"	"40"	"40"	40.01
	"Coosa County, AL"	"01037"	"41"	"41"	41.01
	"Coosa County, AL"	"01037"	"42"	"42"	41.95
	"Coosa County, AL"	"01037"	"43"	"43"	42.86
	"Coosa County, AL"	"01037"	"44"	"44"	43.75
	"Coosa County, AL"	"01037"	"45"	"45"	44.87
	"Coosa County, AL"	"01037"	"48"	"48"	47.62
	"Coosa County, AL"	"01037"	"N/A"	"N/A"	Missing
"Total"	"Coosa County, AL"	"01037"			32.95
	"Covington County, AL"	"01039"	"26"	"26"	26.33
	"Covington County, AL"	"01039"	"27"	"27"	27.13
	"Covington County, AL"	"01039"	"28"	"28"	28.02
	"Covington County, AL"	"01039"	"29"	"29"	29.00
	"Covington County, AL"	"01039"	"30"	"30"	29.99
	"Covington County, AL"	"01039"	"31"	"31"	31.01
	"Covington County, AL"	"01039"	"32"	"32"	32.01
	"Covington County, AL"	"01039"	"33"	"33"	33.02
	"Covington County, AL"	"01039"	"34"	"34"	34.01
	"Covington County, AL"	"01039"	"35"	"35"	34.98
	"Covington County, AL"	"01039"	"36"	"36"	36.00
	"Covington County, AL"	"01039"	"37"	"37"	36.98
	"Covington County, AL"	"01039"	"38"	"38"	37.97
	"Covington County, AL"	"01039"	"39"	"39"	38.99
	"Covington County, AL"	"01039"	"40"	"40"	39.93
	"Covington County, AL"	"01039"	"41"	"41"	40.94
	"Covington County, AL"	"01039"	"42"	"42"	41.92
	"Covington County, AL"	"01039"	"43"	"43"	42.84
	"Covington County, AL"	"01039"	"44"	"44"	44.04
	"Covington County, AL"	"01039"	"45"	"45"	45.20
	"Covington County, AL"	"01039"	"46"	"46"	46.45
	"Covington County, AL"	"01039"	"47"	"47"	46.73
	"Covington County, AL"	"01039"	"49"	"49"	48.93
	"Covington County, AL"	"01039"	"N/A"	"N/A"	Missing
"Total"	"Covington County, AL"	"01039"			33.54
	"Crenshaw County, AL"	"01041"	"26"	"26"	26.39
	"Crenshaw County, AL"	"01041"	"27"	"27"	27.19
	"Crenshaw County, AL"	"01041"	"28"	"28"	28.04
	"Crenshaw County, AL"	"01041"	"29"	"29"	29.00
